Census year,Occupation,Total Weight,Female,Male,,,,
1900,shoemaker,11880.04,0.264765102,0.735234898,,,,
2006,accountant,2343885,0.597711492,0.402288508,,,,
1900,statistician,275.05,0.071768769,0.928231231,,,,
2008,painter,244213,0.142858898,0.857141102,,,,
1870,surgeon,62590.6,0.011356498,0.988643502,,,,
2010,salesperson,2400717,0.444525531,0.555474469,,,,
1920,soldier,246788.62,0.002074204,0.997925796,,,,
2009,compositor,54715,0.495257242,0.504742758,,,,
1860,farmer,2683254,0.038439611,0.961560389,,,,
1970,carpenter,2264000,0.01360424,0.98639576,,,,
2001,manager,20020345,0.387619494,0.612380506,,,,
2012,chemist,93597,0.388751776,0.611248224,,,,
1920,psychologist,100.6,1,0,,,,
1930,carpenter,897021.49,0.004156712,0.995843288,,,,
2012,teacher,6890362,0.768230174,0.231769826,,,,
1850,conservationist,186.22,0,1,,,,
1910,dentist,40137,0.024939582,0.975060418,,,,
1960,smith,159960,0.018129532,0.981870468,,,,
2015,photographer,319974,0.416321326,0.583678674,,,,
1960,musician,236500,0.604312896,0.395687104,,,,
1930,fireperson,186916.74,0.005305196,0.994694804,,,,
1870,technician,117.81,0,1,,,,
2011,boilermaker,32189,0.018329243,0.981670757,,,,
1900,musician,95071.91,0.576292198,0.423707802,,,,
2010,cabinetmaker,79088,0.059983815,0.940016185,,,,
1930,mathematician,244.22,0.413561543,0.586438457,,,,
2005,photographer,223977,0.410854686,0.589145314,,,,
2000,cook,4390073,0.521583126,0.478416874,,,,
2006,electrician,1024479,0.026457351,0.973542649,,,,
1940,clerk,245283,0.07040439,0.92959561,,,,
2014,lumberjack,44144,0.065422254,0.934577746,,,,
2009,judge,1170426,0.3415987,0.6584013,,,,
2005,bailiff,12528,0.300207535,0.699792465,,,,
1880,bartender,25354.75,0.008106568,0.991893432,,,,
1940,teamster,30061,0.013306277,0.986693723,,,,
1920,bootblack,15419.4,0.012748226,0.987251774,,,,
1920,welder,26312.13,0.019595145,0.980404855,,,,
1920,librarian,548409.03,0.54924422,0.45075578,,,,
2008,police,1092815,0.165580634,0.834419366,,,,
1880,athlete,3021.17,0.014769113,0.985230887,,,,
1970,mason,479600,0.012718932,0.987281068,,,,
2008,bartender,502597,0.599752884,0.400247116,,,,
2007,guard,1864384,0.249473284,0.750526716,,,,
2014,proprietor,22042430,0.397342716,0.602657284,,,,
1950,milliner,18134,0.805613764,0.194386236,,,,
1860,photographer,3748.72,0.026152927,0.973847073,,,,
1860,lawyer,34718.74,0.002696238,0.997303762,,,,
2005,sales,8560538,0.450533483,0.549466517,,,,
2004,dietitian,91111,0.907859644,0.092140356,,,,
2004,cabinetmaker,103572,0.085940216,0.914059784,,,,
2009,bookbinder,43875,0.461105413,0.538894587,,,,
1970,plumber,858200,0.011186204,0.988813796,,,,
1850,tradesperson,488131.25,0,1,,,,
2007,geologist,81660,0.261596865,0.738403135,,,,
2011,guard,1985931,0.247202446,0.752797554,,,,
1970,huckster,416300,0.827768436,0.172231564,,,,
2002,official,20624956,0.401213462,0.598786538,,,,
2007,laborer,8271195,0.146912145,0.853087855,,,,
1880,mailperson,39553.6,0.049577788,0.950422212,,,,
2003,dentist,190131,0.200219848,0.799780152,,,,
2001,postmaster,51292,0.590208999,0.409791001,,,,
1900,eletrotyper,2783.3,0.014263644,0.985736356,,,,
1950,chiropractor,14087,0.138638461,0.861361539,,,,
1910,cashier,59776,0.583963464,0.416036536,,,,
2005,author,238839,0.573587228,0.426412772,,,,
1940,clerical,2054156,0.35934856,0.64065144,,,,
2001,dietitian,111082,0.903098612,0.096901388,,,,
2010,compositor,48052,0.515441605,0.484558395,,,,
2001,bookbinder,53376,0.631763339,0.368236661,,,,
2014,housekeeper,139218,0.721084917,0.278915083,,,,
1900,bailiff,7455.21,0.013048593,0.986951407,,,,
2000,doorkeeper,1588852,0.237066133,0.762933867,,,,
2001,painter,272344,0.158435655,0.841564345,,,,
1930,salesperson,172151.61,0.345460144,0.654539856,,,,
1860,unemployed,3639.27,0.352617421,0.647382579,,,,
2012,physicist,13367,0.220842373,0.779157627,,,,
2013,compositor,46986,0.555995403,0.444004597,,,,
1860,architect,2002.18,0,1,,,,
1950,teamster,25795,0.020081411,0.979918589,,,,
2015,teacher,7025670,0.766235533,0.233764467,,,,
2011,typesetter,56626,0.482993678,0.517006322,,,,
1950,conductor,69238,0.000794361,0.999205639,,,,
2003,newsperson,797795,0.589191459,0.410808541,,,,
1910,manager,1955899,0.063009389,0.936990611,,,,
2000,upholsterer,75830,0.23667414,0.76332586,,,,
1880,lumberjack,11622.25,0.005126374,0.994873626,,,,
2001,judge,998779,0.313001174,0.686998826,,,,
2007,salesperson,2410145,0.431875261,0.568124739,,,,
2008,operator,1809987,0.429137889,0.570862111,,,,
2013,inspector,423167,0.387062318,0.612937682,,,,
1860,entertainer,1118.92,0.098916813,0.901083187,,,,
2014,boilermaker,22874,0.029946664,0.970053336,,,,
1930,cook,292719.62,0.393124076,0.606875924,,,,
1990,instructor,877337,0.41978282,0.58021718,,,,
1950,engineer,880054,0.014017322,0.985982678,,,,
1970,salesperson,1988100,0.27201851,0.72798149,,,,
2003,waitstaff,2517174,0.749734424,0.250265576,,,,
2003,bankteller,543160,0.881806466,0.118193534,,,,
2012,attendant,10121614,0.799794183,0.200205817,,,,
2007,shoemaker,309412,0.034720696,0.965279304,,,,
2008,administrator,533795,0.55369196,0.44630804,,,,
1850,plasterer,9449.73,0,1,,,,
1900,engineer,256071.07,0.005128693,0.994871307,,,,
1910,fireperson,129894,0,1,,,,
1900,nutritionist,19.52,1,0,,,,
2002,bailiff,14089,0.319682021,0.680317979,,,,
2012,economist,330639,0.550642846,0.449357154,,,,
2004,accountant,2263254,0.590795819,0.409204181,,,,
2008,boilermaker,25964,0.014366045,0.985633955,,,,
2007,chiropractor,77019,0.36951921,0.63048079,,,,
2007,psychologist,191587,0.670979764,0.329020236,,,,
2009,lawyer,1170426,0.3415987,0.6584013,,,,
2004,paperhanger,15650,0.296677316,0.703322684,,,,
2009,manager,21446101,0.387399929,0.612600071,,,,
2010,nutritionist,101852,0.916732121,0.083267879,,,,
2009,broker,2591436,0.578622046,0.421377954,,,,
2001,sailor,29022,0.081214251,0.918785749,,,,
1910,gardener,50950,0.013778214,0.986221786,,,,
1980,physicist,33380,0.053924506,0.946075494,,,,
