SOC_Codes_2018,Occupation,Total,ma,fe,Female,Male
CON-Construction And Building Inspectors,inspector,2101,1820,281,0.133745835,0.866254165
CON-Elevator And Escalator Installers And Repairers,repairer,687,664,23,0.033478894,0.966521106
CON-Fence Erectors,installer,1236,1236,0,0,1
CON-Hazardous Materials Removal Workers,worker,835,772,63,0.075449102,0.924550898
CON-Highway Maintenance Workers,worker,1928,1857,71,0.036825726,0.963174274
CON-Rail-Track Laying And Maintenance Equipment Operators,operator,259,259,0,0,1
CON-Other Construction And Related Workers,worker,885,874,11,0.012429379,0.987570621
EXT-Surface Mining Machine Operators And Earth Drillers,operator,645,628,17,0.026356589,0.973643411
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters",blaster,264,264,0,0,1
EXT-Underground Mining Machine Operators,operator,173,150,23,0.132947977,0.867052023
EXT-Other Extraction Workers,worker,271,257,14,0.051660517,0.948339483
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas",operator,23,23,0,0,1
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers",repairer,4379,4140,239,0.054578671,0.945421329
