Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: New York"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"OFF-Office Clerks, General","133465","32754","100711"
"OFF-Office Machine Operators, Except Computer","2939","1669","1270"
"OFF-Proofreaders And Copy Markers","1608","643","965"
"OFF-Statistical Assistants","1794","1124","670"
"OFF-Other Office And Administrative Support Workers","40453","9862","30591"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","1373","919","454"
"FFF-Agricultural Inspectors","544","368","176"
"FFF-Graders And Sorters, Agricultural Products","1480","500","980"
"FFF-Other Agricultural Workers","25456","17623","7833"
"FFF-Fishing And Hunting Workers","868","743","125"
"FFF-Forest And Conservation Workers","452","373","79"
"FFF-Logging Workers","2836","2669","167"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","41019","39523","1496"
"CON-Boilermakers","1076","1053","23"
"CON-Carpenters","84641","82962","1679"
"CON-Carpet, Floor, And Tile Installers And Finishers","6712","6666","46"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","633","564","69"
"CON-Construction Laborers","155778","150745","5033"
"CON-Construction Equipment Operators","17478","17097","381"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","6810","6632","178"
"CON-Electricians","57684","56281","1403"
"CON-Glaziers","1790","1765","25"
"CON-Insulation Workers","1181","1096","85"
"CON-Painters And Paperhangers","38546","36478","2068"
"CON-Pipelayers","2801","2717","84"
"CON-Plumbers, Pipefitters, And Steamfitters","34104","33532","572"
"CON-Plasterers And Stucco Masons","1409","1347","62"
"CON-Roofers","10572","10433","139"
"CON-Sheet Metal Workers","5413","5190","223"
"CON-Structural Iron And Steel Workers","5551","5419","132"
"CON-Solar Photovoltaic Installers","807","807","0"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","13322","13213","109"
"CON-Helpers, Construction Trades","4203","3999","204"
"CON-Construction And Building Inspectors","6634","6172","462"
"CON-Elevator And Escalator Installers And Repairers","5367","5226","141"
"CON-Fence Erectors","1006","1006","0"
"CON-Hazardous Materials Removal Workers","3178","2589","589"
"CON-Highway Maintenance Workers","9527","9171","356"
"CON-Rail-Track Laying And Maintenance Equipment Operators","1436","1416","20"
"CON-Other Construction And Related Workers","2655","2645","10"
"EXT-Surface Mining Machine Operators And Earth Drillers","1251","1251","0"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","482","448","34"
"EXT-Underground Mining Machine Operators","665","649","16"
"EXT-Other Extraction Workers","885","831","54"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil, Gas, And Mining","192","183","9"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","14696","13200","1496"
"RPR-Computer, Automated Teller, And Office Machine Repairers","14163","12724","1439"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","12000","10902","1098"
"RPR-Avionics Technicians","469","438","31"
"RPR-Electric Motor, Power Tool, And Related Repairers","1231","1216","15"
"RPR-Audiovisual Equipment Installers And Repairers","1628","1535","93"
"RPR-Security And Fire Alarm Systems Installers","4936","4788","148"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","1259","1216","43"
"RPR-Aircraft Mechanics And Service Technicians","5641","5361","280"
"RPR-Automotive Body And Related Repairers","7198","7078","120"
"RPR-Automotive Glass Installers And Repairers","641","641","0"
"RPR-Automotive Service Technicians And Mechanics","51724","51112","612"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","16649","16307","342"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","10353","10176","177"
"RPR-Small Engine Mechanics","1674","1674","0"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","2969","2906","63"
"RPR-Control And Valve Installers And Repairers","1622","1567","55"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","22259","21633","626"
"RPR-Home Appliance Repairers","2170","2067","103"
"RPR-Maintenance Workers, Machinery","833","792","41"
"RPR-Millwrights","1533","1523","10"
"RPR-Industrial And Refractory Machinery Mechanics","16812","15923","889"
"RPR-Electrical Power-Line Installers And Repairers","5552","5511","41"
"RPR-Telecommunications Line Installers And Repairers","9808","9141","667"
"RPR-Precision Instrument And Equipment Repairers","4105","3693","412"
"RPR-Maintenance And Repair Workers, General","32507","31412","1095"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","1428","1250","178"
"RPR-Locksmiths And Safe Repairers","1873","1756","117"
"RPR-Riggers","267","247","20"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","1802","1763","39"
"RPR-Other Installation, Maintenance, And Repair Workers","14857","13533","1324"
"PRD-First-Line Supervisors Of Production And Operating Workers","36863","28950","7913"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","6527","3075","3452"
"PRD-Engine And Other Machine Assemblers","553","535","18"
"PRD-Structural Metal Fabricators And Fitters","1278","1272","6"
"PRD-Other Assemblers and Fabricators","33328","21981","11347"
"PRD-Bakers","20258","10568","9690"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","11597","10277","1320"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","550","313","237"
"PRD-Food Batchmakers","4452","2097","2355"
"PRD-Food Cooking Machine Operators And Tenders","660","354","306"
"PRD-Food Processing Workers, All Other","4308","3061","1247"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","797","666","131"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","1944","1732","212"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","1845","1602","243"
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","766","723","43"
"PRD-Machinists","16515","15769","746"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","993","853","140"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","1742","1417","325"
"PRD-Tool And Die Makers","2828","2772","56"
"PRD-Welding, Soldering, And Brazing Workers","20398","19270","1128"
"PRD-Other Metal Workers And Plastic Workers","15571","13118","2453"
"PRD-Prepress Technicians And Workers","1829","1165","664"
"PRD-Printing Press Operators","10413","8531","1882"
"PRD-Print Binding And Finishing Workers","732","497","235"
"PRD-Laundry And Dry-Cleaning Workers","14470","5917","8553"
"PRD-Pressers, Textile, Garment, And Related Materials","2140","943","1197"
"PRD-Sewing Machine Operators","13775","1813","11962"
"PRD-Shoe And Leather Workers","1093","852","241"
"PRD-Tailors, Dressmakers, And Sewers","8190","3040","5150"
"PRD-Textile Machine Setters, Operators, And Tenders","599","303","296"
"PRD-Upholsterers","1403","1135","268"
