Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: West Virginia"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"RPR-Aircraft Mechanics And Service Technicians","810","789","21"
"RPR-Automotive Body And Related Repairers","1202","1140","62"
"RPR-Automotive Glass Installers And Repairers","105","93","12"
"RPR-Automotive Service Technicians And Mechanics","5774","5576","198"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","1910","1897","13"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","3581","3577","4"
"RPR-Small Engine Mechanics","277","277","0"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","711","711","0"
"RPR-Control And Valve Installers And Repairers","221","212","9"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","2055","2055","0"
"RPR-Home Appliance Repairers","78","78","0"
"RPR-Maintenance Workers, Machinery","336","336","0"
"RPR-Millwrights","573","573","0"
"RPR-Industrial And Refractory Machinery Mechanics","2103","2086","17"
"RPR-Electrical Power-Line Installers And Repairers","1589","1589","0"
"RPR-Telecommunications Line Installers And Repairers","691","677","14"
"RPR-Precision Instrument And Equipment Repairers","474","474","0"
"RPR-Maintenance And Repair Workers, General","4203","4016","187"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","329","251","78"
"RPR-Locksmiths And Safe Repairers","106","106","0"
"RPR-Riggers","82","82","0"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","318","318","0"
"RPR-Other Installation, Maintenance, And Repair Workers","1501","1356","145"
"PRD-First-Line Supervisors Of Production And Operating Workers","5126","4186","940"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","388","345","43"
"PRD-Engine And Other Machine Assemblers","176","93","83"
"PRD-Structural Metal Fabricators And Fitters","324","324","0"
"PRD-Other Assemblers and Fabricators","4801","3923","878"
"PRD-Bakers","992","237","755"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","1268","1077","191"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","0","0","0"
"PRD-Food Batchmakers","547","188","359"
"PRD-Food Cooking Machine Operators And Tenders","0","0","0"
"PRD-Food Processing Workers, All Other","855","445","410"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","175","153","22"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","566","540","26"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","231","201","30"
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","105","105","0"
"PRD-Machinists","2226","2161","65"
