Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alaska"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","567","540","27"
"RPR-Control And Valve Installers And Repairers","88","88","0"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","509","509","0"
"RPR-Home Appliance Repairers","27","27","0"
"RPR-Maintenance Workers, Machinery","80","80","0"
"RPR-Millwrights","132","132","0"
"RPR-Industrial And Refractory Machinery Mechanics","998","926","72"
"RPR-Electrical Power-Line Installers And Repairers","592","592","0"
"RPR-Telecommunications Line Installers And Repairers","448","443","5"
"RPR-Precision Instrument And Equipment Repairers","249","226","23"
"RPR-Maintenance And Repair Workers, General","2027","1924","103"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","248","203","45"
"RPR-Locksmiths And Safe Repairers","154","154","0"
"RPR-Riggers","42","42","0"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","48","48","0"
"RPR-Other Installation, Maintenance, And Repair Workers","961","939","22"
"PRD-First-Line Supervisors Of Production And Operating Workers","1124","967","157"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","0","0","0"
"PRD-Engine And Other Machine Assemblers","0","0","0"
"PRD-Structural Metal Fabricators And Fitters","0","0","0"
"PRD-Other Assemblers and Fabricators","299","163","136"
"PRD-Bakers","608","89","519"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","1359","1139","220"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","35","29","6"
"PRD-Food Batchmakers","659","395","264"
"PRD-Food Cooking Machine Operators And Tenders","42","10","32"
"PRD-Food Processing Workers, All Other","2230","1264","966"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","0","0","0"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","12","12","0"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","21","8","13"
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","6","6","0"
"PRD-Machinists","419","419","0"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","0","0","0"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","0","0","0"
"PRD-Tool And Die Makers","0","0","0"
"PRD-Welding, Soldering, And Brazing Workers","1396","1365","31"
"PRD-Other Metal Workers And Plastic Workers","176","176","0"
"PRD-Prepress Technicians And Workers","0","0","0"
"PRD-Printing Press Operators","291","180","111"
"PRD-Print Binding And Finishing Workers","118","0","118"
"PRD-Laundry And Dry-Cleaning Workers","841","189","652"
"PRD-Pressers, Textile, Garment, And Related Materials","118","15","103"
"PRD-Sewing Machine Operators","157","5","152"
"PRD-Shoe And Leather Workers","20","0","20"
"PRD-Tailors, Dressmakers, And Sewers","31","0","31"
"PRD-Textile Machine Setters, Operators, And Tenders","0","0","0"
"PRD-Upholsterers","62","0","62"
"PRD-Other Textile, Apparel, And Furnishings Workers","6","6","0"
"PRD-Cabinetmakers And Bench Carpenters","85","85","0"
"PRD-Furniture Finishers","0","0","0"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","52","52","0"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","13","0","13"
"PRD-Other Woodworkers","192","181","11"
"PRD-Power Plant Operators, Distributors, And Dispatchers","615","601","14"
"PRD-Stationary Engineers And Boiler Operators","555","544","11"
"PRD-Water And Wastewater Treatment Plant And System Operators","690","645","45"
"PRD-Miscellaneous Plant And System Operators","132","122","10"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","147","147","0"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","97","97","0"
"PRD-Cutting Workers","125","69","56"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","5","5","0"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","12","5","7"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","1698","1356","342"
"PRD-Jewelers And Precious Stone And Metal Workers","90","25","65"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","290","192","98"
"PRD-Packaging And Filling Machine Operators And Tenders","644","472","172"
"PRD-Painting Workers","182","182","0"
"PRD-Photographic Process Workers And Processing Machine Operators","42","26","16"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","122","122","0"
"PRD-Adhesive Bonding Machine Operators And Tenders","0","0","0"
"PRD-Etchers And Engravers","51","51","0"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","7","0","7"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","0","0","0"
"PRD-Tire Builders","0","0","0"
"PRD-Helpers--Production Workers","23","23","0"
