Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arkansas"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRS-Residential Advisors","1152","478","674"
"PRS-Personal Care And Service Workers, All Other","1356","530","826"
"SAL-First-Line Supervisors Of Retail Sales Workers","40640","21142","19498"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","10276","7228","3048"
"SAL-Cashiers","47283","9811","37472"
"SAL-Counter And Rental Clerks","876","554","322"
"SAL-Parts Salespersons","1802","1756","46"
"SAL-Retail Salespersons","36536","18590","17946"
"SAL-Advertising Sales Agents","962","277","685"
"SAL-Insurance Sales Agents","6183","2721","3462"
"SAL-Securities, Commodities, And Financial Services Sales Agents","1303","866","437"
"SAL-Travel Agents","157","33","124"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","5219","3013","2206"
"SAL-Sales Representatives, Wholesale And Manufacturing","12829","9428","3401"
"SAL-Models, Demonstrators, And Product Promoters","725","246","479"
"SAL-Real Estate Brokers And Sales Agents","6457","2538","3919"
"SAL-Sales Engineers","245","224","21"
"SAL-Telemarketers","1320","624","696"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","2128","1149","979"
"SAL-Sales And Related Workers, All Other","2619","1134","1485"
"OFF-First-Line Supervisors Of Office And Administrative Support Workers","12521","3652","8869"
"OFF-Switchboard Operators, Including Answering Service","279","0","279"
"OFF-Telephone Operators","405","100","305"
"OFF-Communications Equipment Operators, All Other","213","99","114"
"OFF-Bill And Account Collectors","1076","188","888"
"OFF-Billing And Posting Clerks","4860","427","4433"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","15053","1596","13457"
"OFF-Payroll And Timekeeping Clerks","1875","110","1765"
"OFF-Procurement Clerks","203","72","131"
"OFF-Tellers","5531","1055","4476"
"OFF-Other Financial Clerks","747","167","580"
"OFF-Court, Municipal, And License Clerks","1630","144","1486"
"OFF-Credit Authorizers, Checkers, And Clerks","550","15","535"
"OFF-Customer Service Representatives","22924","7354","15570"
"OFF-Eligibility Interviewers, Government Programs","1375","414","961"
"OFF-File Clerks","2769","751","2018"
"OFF-Hotel, Motel, And Resort Desk Clerks","1145","341","804"
"OFF-Interviewers, Except Eligibility And Loan","1364","294","1070"
"OFF-Library Assistants, Clerical","957","160","797"
"OFF-Loan Interviewers And Clerks","1070","104","966"
"OFF-New Accounts Clerks","376","107","269"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","533","205","328"
"OFF-Receptionists And Information Clerks","11812","1159","10653"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","402","46","356"
"OFF-Correspondence Clerks And Order Clerks","975","407","568"
"OFF-Other Information And Records Clerks","1582","289","1293"
"OFF-Cargo And Freight Agents","238","91","147"
"OFF-Couriers And Messengers","2958","2329","629"
"OFF-Public Safety Telecommunicators","1481","642","839"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","2893","1351","1542"
"OFF-Meter Readers, Utilities","398","361","37"
"OFF-Postal Service Clerks","1298","501","797"
"OFF-Postal Service Mail Carriers","3865","2286","1579"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","798","224","574"
"OFF-Production, Planning, And Expediting Clerks","3479","1293","2186"
"OFF-Shipping, Receiving, And Inventory Clerks","5810","3562","2248"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","1481","666","815"
"OFF-Executive Secretaries And Executive Administrative Assistants","2201","41","2160"
"OFF-Legal Secretaries And Administrative Assistants","676","43","633"
"OFF-Medical Secretaries And Administrative Assistants","1143","62","1081"
