Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alabama"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","7532","5487","2045"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","152","61","91"
"PRD-Food Batchmakers","1304","208","1096"
"PRD-Food Cooking Machine Operators And Tenders","93","51","42"
"PRD-Food Processing Workers, All Other","3359","2146","1213"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","691","553","138"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","2248","1974","274"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","947","830","117"
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","368","349","19"
"PRD-Machinists","6634","6503","131"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","1089","993","96"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","1342","1114","228"
"PRD-Tool And Die Makers","757","751","6"
"PRD-Welding, Soldering, And Brazing Workers","20764","19295","1469"
"PRD-Other Metal Workers And Plastic Workers","11317","8264","3053"
"PRD-Prepress Technicians And Workers","452","285","167"
"PRD-Printing Press Operators","2944","2154","790"
"PRD-Print Binding And Finishing Workers","124","84","40"
"PRD-Laundry And Dry-Cleaning Workers","2805","884","1921"
"PRD-Pressers, Textile, Garment, And Related Materials","870","366","504"
"PRD-Sewing Machine Operators","5837","1524","4313"
"PRD-Shoe And Leather Workers","80","71","9"
"PRD-Tailors, Dressmakers, And Sewers","1349","45","1304"
"PRD-Textile Machine Setters, Operators, And Tenders","1734","814","920"
"PRD-Upholsterers","110","62","48"
"PRD-Other Textile, Apparel, And Furnishings Workers","974","660","314"
"PRD-Cabinetmakers And Bench Carpenters","1657","1501","156"
"PRD-Furniture Finishers","144","81","63"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","1362","1183","179"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","1031","528","503"
"PRD-Other Woodworkers","682","532","150"
"PRD-Power Plant Operators, Distributors, And Dispatchers","1224","1113","111"
"PRD-Stationary Engineers And Boiler Operators","1445","1403","42"
"PRD-Water And Wastewater Treatment Plant And System Operators","2113","2028","85"
"PRD-Miscellaneous Plant And System Operators","1058","1026","32"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","1686","1442","244"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","1181","1046","135"
"PRD-Cutting Workers","1831","1722","109"
